id,subject,topic,difficulty,question,options,correct_option,explanation,concept,prerequisites
1,Science,Biology,Medium,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,viruses|gymnosperms|mesophilic organisms|protozoa,C,"Mesophilic organisms are commonly used in fermented foods such as cheese and yogurt. They grow best at moderate temperatures, which supports controlled fermentation.",Fermentation,Microorganisms
2,Science,Earth Science,Hard,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,tropical effect|muon effect|coriolis effect|centrifugal effect,C,The Coriolis Effect makes global winds curve because Earth rotates on its axis. This causes winds to follow different curved paths in the Northern and Southern Hemispheres.,Coriolis Effect,"Earth Rotation, Global Winds"
3,Science,Chemistry,Medium,Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?,exothermic|unbalanced|reactive|endothermic,A,"A change from a less-ordered state to a more-ordered state, such as liquid water freezing into solid ice, releases heat. Therefore, this type of phase change is exothermic.",Phase Changes,"States of Matter, Heat Transfer"
4,Science,Physics,Easy,What is the least dangerous radioactive decay?,gamma decay|beta decay|alpha decay|zeta decay,C,Alpha decay is usually considered the least dangerous type of radioactive decay because alpha particles have low penetrating power. They can often be stopped by paper or the outer layer of skin.,Alpha Decay,Radioactivity
5,Science,Earth Science,Medium,Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,magma|smoke and ash|carbon and smog|greenhouse gases,B,"Very active volcanoes commonly eject red-hot rocks and lava. In this question, they are contrasted with smoke and ash.",Volcanic Eruptions,Volcanoes
6,Science,Earth Science,Easy,"When a meteoroid reaches earth, what is the remaining object called?",meteor|meteorite|comet|orbit,B,"When a meteoroid enters Earth's atmosphere, it produces a meteor. If part of it survives and reaches Earth's surface, the remaining object is called a meteorite.",Meteorites,Meteoroids
7,Science,Chemistry,Easy,What kind of a reaction occurs when a substance reacts quickly with oxygen?,nitrogen reaction|combustion reaction|invention reaction|Fluid Reaction,B,"A combustion reaction occurs when a substance reacts quickly with oxygen. This reaction usually releases heat and light, so it is commonly called burning.",Combustion Reactions,"Chemical Reactions, Oxygen"
8,Science,Biology,Hard,"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.",species complex|fitting species|surface species|ring species,D,"Ring species show a form of allopatric speciation where neighboring populations can interbreed in overlap regions. However, the end populations may no longer interbreed successfully.",Ring Species,Speciation
9,Science,Physics,Easy,Alpha emission is a type of what?,radiation|light|radioactivity|heat,C,Alpha emission is a type of radioactivity. It occurs when an unstable nucleus releases an alpha particle.,Alpha Emission,Radioactivity
10,Science,Biology,Easy,What is the stored food in a seed called?,membrane|endosperm|pollin|larval,B,Endosperm is the stored food present in a seed. It provides nourishment to the developing embryo until the young plant can make its own food.,Endosperm,Seeds
11,Science,Chemistry,Medium,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",Trap metal|usually metal|active metal|much metal,C,"Zinc has a lower reduction potential than iron, so it is more easily oxidized. This makes zinc a more active metal.",Reduction Potential,"Oxidation, Metals"
12,Science,Biology,Easy,What is controlled by both genes and experiences in a given envionment?,instincts|reflexes|animal behaviors|learned behaviors,C,Animal behaviors are controlled by both inherited genes and experiences in the environment. This combination influences how animals respond and act.,Animal Behavior,"Genes, Environment"
13,Science,Biology,Medium,What tells you how much of the food you should eat to get the nutrients listed on the label?,scoop size|regular size|longer size|serving size,D,Serving size tells how much food should be eaten to get the nutrients listed on the label. The nutrition values are calculated for that specific amount of food.,Nutrition Labels,Nutrients
14,Science,Physics,Easy,What are used to write nuclear equations for radioactive decay?,radioactive symbols|nuclear symbols|trigonometric symbols|critical symbols,B,Nuclear symbols are used to represent atoms and particles in nuclear equations. They help show radioactive decay clearly by including mass number and atomic number.,Nuclear Equations,Radioactive Decay
15,Science,Biology,Medium,What is controlled by regulatory proteins that bind to regulatory elements on dna?,substance transcription|mRNA|gene transcription|amino acids,C,Gene transcription is controlled by regulatory proteins that bind to regulatory elements on DNA. These proteins can activate or repress transcription.,Gene Transcription,"DNA, Proteins"
16,Science,Chemistry,Easy,Boron only occurs naturally in compounds with what element?,carbon|oxygen|nitrogen|helium,B,Boron naturally occurs in compounds with oxygen. It is commonly found as borates and boric acid rather than as a free element.,Boron Compounds,Chemical Elements
17,Science,Biology,Easy,What organ systems link exchange surfaces with cells throughout the body?,vascular|circulatory|pulmonary|nervous,B,"The circulatory system connects exchange surfaces with cells throughout the body. It transports materials such as oxygen, nutrients, and wastes.",Circulatory System,Organ Systems
18,Science,Biology,Medium,What occurs when the immune system attacks a harmless substance that enters the body from the outside?,panic attack|plague|allergy|nausea,C,An allergy occurs when the immune system reacts against a harmless outside substance. The substance that triggers the reaction is called an allergen.,Allergies,Immune System
19,Science,Biology,Medium,"Fertilization is the union of a sperm and egg, resulting in the formation of what?",a nuclei|a bacteriophage|a zygote|a cytoplasm,C,Fertilization is the union of a sperm cell and an egg cell. This process forms a zygote.,Fertilization,Gametes
20,Science,Biology,Medium,The plants alternation between haploid and diploud generations allow it to do what?,reproduce asexually and sexually|reproduce asexually and simultaneously|reproduce asexually and biologically|reproduce sexually and autonomously,A,"Alternation of generations allows plants to reproduce both asexually and sexually. The haploid generation produces gametes, while the diploid generation produces spores.",Alternation of Generations,"Haploid Cells, Diploid Cells"
21,Science,Biology,Easy,Most of the chemical reactions in the body are facilitated by what?,enzymes|proteins|carbohydrates|vitamins,A,Enzymes facilitate most chemical reactions in the body. They speed up reactions so that life processes can occur efficiently.,Enzymes,Chemical Reactions
22,Science,Biology,Easy,What is the termination of a pregnancy in progress called?,delivery|miscarriage|abortion|contraception,C,"Abortion is the termination of an ongoing pregnancy. In this question, it is the correct term for ending a pregnancy in progress.",Abortion,Pregnancy
23,Science,Earth Science,Medium,"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",inhabitable zones|dead zones|hostile zones|fresh zones,B,Dead zones are low-oxygen areas in bodies of water where many organisms cannot survive. Reducing chemical fertilizer runoff and preserving wetlands help prevent them.,Dead Zones,"Water Pollution, Fertilizers"
24,Science,Biology,Easy,Which muscles allow your fingers to also make precise movements for actions?,paired muscles|fine movement muscles|motoric muscles|intrinsic muscles,D,Intrinsic muscles are muscles located within the hand. They allow the fingers to make precise movements such as typing and writing.,Intrinsic Muscles,Muscles
25,Science,Biology,Easy,Testing what usually requires making observations or performing experiments?,variables|homeostasis|hypothesis|conclusion,C,A hypothesis is tested by making observations or performing experiments. This helps determine whether the hypothesis is supported by evidence.,Hypothesis Testing,Scientific Method
26,Science,Chemistry,Medium,This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?,Newton's third law|Mendelian systems|gravitational pull|van der waals interactions,D,"Covalent bonds form when atoms share electrons. They are much stronger than van der Waals interactions, usually requiring far more energy to break.",Covalent Bonds,"Electrons, Chemical Bonds"
27,Science,Chemistry,Easy,Water molecules move about continuously due to what type of energy?,kinetic|potential|seismic|optical,A,Water molecules move continuously because they have kinetic energy. Kinetic energy is the energy of motion.,Kinetic Energy,Molecules
28,Science,Earth Science,Easy,A small scale version of what type of map displays individual rock units?,polar map|geographic map|geologic map|seismic map,C,A geologic map shows rock units and geologic features. A small-scale geologic map can display individual rock units.,Geologic Maps,Rock Units
29,Science,Biology,Easy,What is defined as a change in the inherited traits of organisms over time?,generation|evolution|variation|divergence,B,Evolution is a change in inherited traits of organisms over time. These changes can accumulate across generations.,Evolution,Inherited Traits
30,Science,Biology,Medium,"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?",estrogen|epinephrine|testosterone|steroids,C,Testosterone is the hormone that helps bring about many physical changes during male puberty. It is stimulated by luteinizing hormone from the pituitary gland.,Testosterone,"Hormones, Puberty"
31,Science,Biology,Easy,Where do angiosperms produce seeds in flowers?,testes|germs|ovaries|cones,C,Angiosperms are flowering plants that produce seeds inside the ovaries of flowers. The ovary later develops into a fruit in many plants.,Angiosperms,"Flowers, Seeds"
32,Science,Biology,Easy,"In order to create food, what do photosynthetic protists use?",decayed matter|thermal energy|hydrocarbons|light energy,D,Photosynthetic protists use light energy to make food. They capture sunlight and convert it into chemical energy.,Photosynthesis,Light Energy
33,Science,Biology,Easy,What type of vertebrates are birds?,invertebrates|epidermal tetrapod|exothermic|endothermic tetrapod,D,Birds are endothermic tetrapod vertebrates. This means they have four limbs and maintain a stable internal body temperature.,Birds,Vertebrates
34,Science,Chemistry,Easy,What type of ions do ionic compounds contain?,negative and neutal|regular and irregular|positive and negative|positive and charged,C,Ionic compounds contain both positive and negative ions. These oppositely charged ions attract each other and form ionic bonds.,Ionic Compounds,Ions
35,Science,Biology,Easy,All living things need air and this to survive?,habitat|water|stimuli|ecosystem,B,"All living things need water to survive. Water supports essential life processes such as transport, temperature regulation, and chemical reactions.",Basic Needs,Living Things
36,Science,Biology,Easy,The cells of all eukarya have a what?,necrosis|epidermis|nucleus|chloroplast,C,All eukaryotic cells have a nucleus. The nucleus stores the cell's genetic material and helps control cell activities.,Eukarya,Cells
37,Science,Earth Science,Easy,What type of plate boundaries produce huge mountain ranges in the ocean basin?,divergent|coherent|tractional|parallel,A,"Divergent plate boundaries form where tectonic plates move apart. In ocean basins, this movement creates huge underwater mountain ranges called mid-ocean ridges.",Divergent Boundaries,Plate Tectonics
38,Science,Chemistry,Medium,Interstitial carbides are produced by the reaction of most transition metals at high temperatures with what element?,carbon|oxygen|hydrogen|nitrogen,A,Interstitial carbides are formed when most transition metals react with carbon at high temperatures. Carbon atoms fit into spaces within the metal structure.,Interstitial Carbides,"Transition Metals, Carbon"
39,Science,Biology,Hard,"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",Soil|aphids|fluxes|decomposers,D,"Fungus-like protist saprobes act as decomposers in food chains. They absorb nutrients from dead organisms and wastes, helping recycle matter.",Decomposers,Food Chains
40,Science,Biology,Easy,What are the sites of protein synthesis or assembly?,chloroplasts|chromosomes|ribosomes|plasma,C,Ribosomes are the sites of protein synthesis. They assemble amino acids into proteins according to genetic instructions.,Ribosomes,"Cells, Proteins"
41,Science,Biology,Easy,What must replicate in the cell cycle before meiosis i takes place?,meiotic fluid|sperm|cell walls|dna,D,DNA must replicate before meiosis I begins. This ensures that chromosomes can be properly divided during meiosis.,DNA Replication,"Cell Cycle, Meiosis"
42,Science,Earth Science,Easy,What phenomenon is primarily the result of plate tectonic motions?,eruption|tsunamis|earthquake|volcanoes,C,Earthquakes are primarily caused by plate tectonic motions. Stress builds up as plates move and is released suddenly as seismic energy.,Earthquakes,Plate Tectonics
43,Science,Biology,Easy,What is a group of neuron cell bodies in the periphery called?,ganglion|organism|gangism|crystals,A,A ganglion is a group of neuron cell bodies located in the peripheral nervous system. Ganglia help process or relay nerve signals outside the brain and spinal cord.,Ganglia,Neurons
44,Science,Biology,Easy,Where does most of our food come from?,gymnosperms|angiosperms|microbes|lichen,B,"Most of our food comes from angiosperms. These flowering plants produce many fruits, grains, vegetables, and seeds eaten by humans.",Angiosperms,"Plants, Food Sources"
45,Science,Chemistry,Easy,Gases are most ideal at high temperature and what pressure?,stable|high|absolute|low,D,"Gases behave most ideally at high temperature and low pressure. Under these conditions, gas particles are far apart and intermolecular forces are minimal.",Ideal Gases,"Gases, Pressure"
46,Science,Earth Science,Medium,Hard igneous rocks and easily dissolved sedimentary rocks respond very differently to what natural force?,sunlight|gravity|evaporation|weathering,D,"Different rocks respond differently to weathering. Hard igneous rocks weather slowly, while some sedimentary rocks dissolve more easily.",Weathering,Rocks
47,Science,Biology,Medium,A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,vitamin A|niacin|vitamin C|vitamin d,D,A diet rich in calcium and vitamin D helps reduce the risk of osteoporosis and bone fractures. Vitamin D supports calcium absorption for strong bones.,Osteoporosis,"Calcium, Vitamins"
48,Science,Earth Science,Easy,How many people die from air pollution each year?,5 million|17 million|22 million|14 million,C,"According to the given question, about 22 million people die from air pollution each year. Air pollution harms the respiratory system and increases disease risk.",Air Pollution,Pollution
49,Science,Biology,Medium,What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,iseotrops|enzymes|hormones|carbohydrates,B,Enzymes serve as catalysts in most biochemical reactions in organisms. They speed up reactions without being consumed.,Enzymes,Biochemical Reactions
50,Science,Chemistry,Easy,The formation of an amalgam allows the metal to react with what?,cloth and plastic|air and water|helium and oxygen|blood and sweat,B,An amalgam disrupts the protective oxide layer on some metals. This allows the metal to react with air and water.,Amalgams,Metals
51,Science,Physics,Medium,A pulley changes the direction of the force t exerted by the cord without changing its what?,position|magnitude|longitude|latitude,B,"A pulley changes the direction of the applied force without changing its magnitude. In an ideal fixed pulley, the mechanical advantage is 1.",Pulley,"Force, Simple Machines"
52,Science,Biology,Medium,What is the name of the small bumps that contain taste buds and covers the tongue?,palatine tonsils|cuticle|papillae|lingual tonsils,C,Papillae are small bumps on the tongue that contain taste buds. These taste buds detect chemicals in food and help produce the sense of taste.,Taste Buds,"Tongue, Sensory Receptors"
53,Science,Physics,Medium,"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",weight|gravity|motion|velocity,B,"In the absence of air resistance, all objects fall with the same acceleration due to gravity. Their masses differ, but gravity produces the same acceleration near Earth.",Gravity,"Force, Acceleration"
54,Science,Biology,Medium,The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,selective permeability|total permeability|moderate permeability|periodic permeability,A,Selective permeability is the ability of the plasma membrane to allow only certain substances to enter or leave the cell. This helps the cell maintain its internal balance.,Selective Permeability,"Cell Membrane, Diffusion"
55,Science,Chemistry,Easy,"In the presence of oxygen, hydrogen can interact to make what?",water|helium|carbon|acid,A,Hydrogen combines with oxygen to form water. This is a chemical reaction that produces H2O.,Water Formation,"Elements, Chemical Reactions"
56,Science,Earth Science,Easy,What galaxy is our solar system a part of?,Bode's Galaxy|Centaurus|milky way|Andromeda,C,"Our solar system is part of the Milky Way galaxy. The Milky Way contains billions of stars, including the Sun.",Milky Way,"Solar System, Galaxies"
57,Science,Physics,Medium,The angle at which light bends when it enters a different medium is known as what?,bounce|resonance|refraction|frequency,C,Refraction is the bending of light when it enters a different medium. The bending happens because the speed of light changes in the new medium.,Refraction,"Light, Medium"
58,Science,Biology,Medium,"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",carbohydrate molecules|protein molecules|lipid molecules|oxygen molecules,A,Living organisms get usable energy by breaking down carbohydrate molecules. This process releases energy needed for cellular activities.,Cellular Respiration,"Carbohydrates, Energy"
59,Science,Physics,Easy,Increasing the temperature of n2 molecules increases what energy of motion?,kinetic energy|residual energy|compression energy|emotional energy,A,Increasing temperature increases the average kinetic energy of nitrogen molecules. Kinetic energy is the energy of motion.,Kinetic Energy,"Temperature, Molecular Motion"
60,Science,Physics,Easy,Which radio frequency should you listen to if you want less noise?,fm|am|cb|wave,A,"FM radio usually has less noise than AM radio because information is carried by frequency changes, not amplitude changes. Random noise mostly affects amplitude.",FM Radio,"Radio Waves, Amplitude"
61,Science,Physics,Easy,What form of radiation is the energy emitted by the sun?,thermal|electromagnetic|seismic|magnetic,B,"The Sun emits energy mainly as electromagnetic radiation. This radiation includes visible light, infrared, and ultraviolet waves.",Electromagnetic Radiation,"Energy, Waves"
62,Science,Earth Science,Easy,What is the suns innermost layer called?,flare|core|solar|surface,B,The core is the innermost layer of the Sun. Nuclear fusion in the core produces the Sun’s energy.,Solar Core,"Sun, Nuclear Fusion"
63,Science,Biology,Easy,A growth spurt requires constant divisions of what?,cells|seeds|hairs|proteins,A,A growth spurt requires repeated cell divisions. New cells are needed to form more body tissues during growth.,Cell Division,"Cells, Growth"
64,Science,Biology,Medium,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary succession|primary pattern|complex progression|pattern progression,A,"Primary succession is the gradual development of plant communities in an area. It usually begins with simple pioneer species and progresses to larger, more complex plants.",Primary Succession,"Ecosystems, Pioneer Species"
65,Science,Biology,Medium,"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?",animals|plants|farmers|eggs,A,"Fungi can form mutualistic relationships with animals as well as plants, algae, and cyanobacteria. In mutualism, both organisms benefit from the relationship.",Mutualism,"Fungi, Symbiosis"
66,Science,Biology,Easy,Which cycle tracks the flow of nitrogen through an ecosystem?,water cycle|nitrogen cycle|life cycle|nitrogen reaction,B,"The nitrogen cycle tracks the movement of nitrogen through an ecosystem. It shows how nitrogen moves between air, soil, organisms, and decomposers.",Nitrogen Cycle,"Ecosystems, Nutrients"
67,Science,Earth Science,Easy,What consequence of a tornado is responsible for most injuries and deaths?,falling debris|catching debris|flying debris|touring debris,C,Most tornado injuries and deaths are caused by flying debris. Strong winds can turn loose objects into dangerous projectiles.,Tornado Hazards,"Tornadoes, Weather"
68,Science,Biology,Easy,What are the only truly innate behaviors in humans called?,feats|reflexes|automatic movements|flinches,B,Reflexes are truly innate behaviors in humans. They occur automatically without being learned.,Reflexes,"Behavior, Nervous System"
69,Science,Earth Science,Easy,What happens to the density of air as the altitude decreases?,multiplies|decreases|remains the same|increases,B,"As altitude decreases, air density increases. Lower layers of the atmosphere have more air above them, causing higher pressure and denser air.",Air Density,"Atmosphere, Altitude"
70,Science,Biology,Easy,How do some animals change their depth?,metamorphosis|by changing their density|spontaneous mutations|mass migration,B,"Some animals change their depth by changing their density. If they become denser than the surrounding water, they sink; if less dense, they float.",Buoyancy,"Density, Adaptations"
71,Science,Biology,Medium,What phenomenon is crowding out other species and making all the other causes of extinction worse?,climate change|human suburbanization|migration|human overpopulation,D,Human overpopulation crowds out other species by increasing demand for land and resources. It also worsens other causes of extinction such as habitat loss and climate change.,Human Overpopulation,"Extinction, Habitat Loss"
72,Science,Biology,Easy,Dessication is an extreme and usually fatal form of what in animals?,diarrhea|starvation|dehydration|depletion,C,"Desiccation is extreme drying of the body. In animals, it is a severe and often fatal form of dehydration.",Dehydration,"Water Balance, Homeostasis"
73,Science,Biology,Medium,Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,photosynthesis|respiration|metabolism|reproduction,B,Internal and external respiration involve gas exchange by simple diffusion. Gases move across surfaces because of partial pressure differences.,Respiration,"Diffusion, Gas Exchange"
74,Science,Biology,Medium,The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,moderate extinction|formation extinction|minor extinction|mass extinction,D,Mass extinctions are followed by the evolution of new species. These new species occupy habitats left empty by extinct organisms.,Mass Extinction,"Fossils, Evolution"
75,Science,Earth Science,Medium,"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?",subsurface|subsoil|silt|topsoil,B,Subsoil is the soil layer where soluble minerals and clays accumulate. This accumulation helps the layer hold more water.,Soil Horizons,"Soil, Minerals"
